Code,Title
Ss_25_45_12_40,Injected and blown cavity wall insulation systems
Ss_25_45_25,Drapery systems
Ss_25_45_70,Render and roughcast coating systems
Ss_25_45_70_55,Multicoat render systems
Ss_25_45_70_60,One-coat render systems
Ss_25_45_70_65,Parge coat systems
Ss_25_45_70_90,Tiling and mosaic render substrate systems
Ss_25_45_72,Wall insulation systems
Ss_25_45_72_02,Adhesive-fixed external wall insulation systems
Ss_25_45_72_28,External wall insulation systems
Ss_25_45_72_42,Insulated plinth systems
Ss_25_45_72_70,Rail-fixed external wall insulation systems
Ss_25_45_74,Rolled paper and fabric covering systems
Ss_25_45_74_70,Rolled covering systems
Ss_25_45_85,Sprayed coating systems
Ss_25_45_85_82,Sprayed external monolithic coating systems
Ss_25_45_85_85,Sprayed internal monolithic coating systems
Ss_25_45_86,Suspended render systems
Ss_25_45_88,Tiling systems
Ss_25_45_88_25,External wall tiling systems
Ss_25_45_88_40,Internal wall tiling systems
Ss_25_45_88_88,Terrazzo wall tiling systems
Ss_25_45_88_90,Tiling and mosaic mortar substrate systems
Ss_25_45_90,Unit facing systems
Ss_25_50,Wall-mounted canopy and screen systems
Ss_25_50_05,Awning systems
Ss_25_50_35,Grille systems
Ss_25_50_45,Louvre and shading systems
Ss_25_50_45_10,Canopy systems
Ss_25_50_45_30,Facade-aligned brise soleil systems
Ss_25_50_45_45,Louvre screen systems
Ss_25_50_45_60,Panellized louvre screen systems
Ss_25_50_45_65,Projecting brise soleil systems
Ss_25_50_75,Screen systems
Ss_25_50_80,Shutter systems
Ss_25_60,Wall and barrier accessory systems
Ss_25_60_05,Balustrade and handrail systems
Ss_25_60_05_05,Balustrade and guarding systems
Ss_25_60_05_35,Handrail systems
Ss_25_60_10,Cavity wall tie renewal and insertion systems
Ss_25_60_30,Fire-stopping systems
Ss_25_60_30_40,Individual services penetrations fire-stopping systems
Ss_25_60_30_45,Linear gap fire-stopping systems
Ss_25_60_30_48,Loose fire-stopping systems
Ss_25_60_30_55,Multiple services penetrations fire-stopping systems
Ss_25_60_30_62,Pipe collar fire-stopping systems
Ss_25_60_35,Glazing systems
Ss_25_60_35_06,Bead-fixed insulating glazing systems
Ss_25_60_35_08,Bead-fixed single glazing systems
Ss_25_60_35_30,Fire-resistant glazing systems
Ss_25_60_35_33,Glazing film systems
Ss_25_60_35_35,Groove-fixed single glazing systems
Ss_25_60_35_40,"Internal use bead and tape, groove or channel glazing systems"
Ss_25_60_35_50,Mirror glazing systems
Ss_25_60_35_65,Putty-fronted single glazing systems
Ss_25_60_35_75,Single-sided gasket glazing systems
Ss_25_60_35_85,Structural zipper gasket glazing systems
Ss_25_60_35_95,U-profiled glazing systems
Ss_25_95,Temporary wall and barrier systems
Ss_25_95_30,Temporary flood barrier systems
Ss_25_95_60,Temporary pedestrian barrier systems
Ss_25_95_70,Temporary rail barrier systems
Ss_25_95_75,Temporary road barrier systems
Ss_25_95_85,Temporary traffic barrier systems
Ss_25_95_90,Temporary water barrier systems
Ss_30,"Roof, floor and paving systems"
Ss_30_10,Roof structure systems
Ss_30_10_30,Framed roof structure systems
Ss_30_10_30_03,Aluminium roof framing systems
Ss_30_10_30_20,Glazed unit roof framing systems
Ss_30_10_30_25,Heavy steel roof framing systems
Ss_30_10_30_30,Heavy steel roof space frame systems
Ss_30_10_30_35,Heavy steel roof space truss systems
Ss_30_10_30_45,Light steel roof framing systems
Ss_30_10_30_58,Plastics roof framing systems
Ss_30_10_30_60,Precast concrete roof structure systems
Ss_30_10_30_70,Reinforced concrete roof framing systems
Ss_30_10_30_85,Timber roof framing systems
Ss_30_10_50,Monolithic roof structure systems
Ss_30_10_50_70,Sprayed concrete roof systems
Ss_30_10_60,Air-pressurized panel roof structure systems
Ss_30_10_60_28,Ethylene tetraflourethylene (ETFE) roof systems
Ss_30_10_90,Unit roof structure systems
Ss_30_10_90_50,Masonry roof systems
Ss_30_12,Floor and deck structure systems
Ss_30_12_05,Beam and block floor systems
Ss_30_12_15,Concrete plank floor systems
Ss_30_12_20,Deck systems
Ss_30_12_32,Framed decking systems
Ss_30_12_33,Framed floor systems
Ss_30_12_33_50,Light steel-framed floor systems
Ss_30_12_33_90,Timber-framed floor systems
Ss_30_12_35,Glass unit masonry floor systems
Ss_30_12_45,Lift-up concrete plank floor systems
Ss_30_12_50,Masonry (flat arch) floor systems
Ss_30_12_60,Pier and jetty structure systems
Ss_30_12_64,Platform systems
Ss_30_12_64_17,Crosswall platform systems
Ss_30_12_64_30,Front wall platform systems
Ss_30_12_64_53,Modular platform systems
Ss_30_12_85,Structural deck systems
Ss_30_12_85_15,Composite concrete deck systems
Ss_30_12_85_16,Composite steel and concrete deck systems
Ss_30_12_85_17,Concrete beam and block deck systems
Ss_30_12_85_18,Concrete deck systems
Ss_30_12_85_30,Glazed unit deck systems
Ss_30_12_85_40,Heavy steel deck systems
Ss_30_12_85_50,Light steel deck systems
Ss_30_12_85_65,Post-tensioned concrete deck systems
Ss_30_12_85_70,Reinforced concrete deck systems
Ss_30_12_85_90,Timber deck systems
Ss_30_14,Paving systems
Ss_30_14_02,Acrylic and resin bound aggregate paving systems
Ss_30_14_02_30,Fibre-reinforced resin-bound aggregate overlay systems
Ss_30_14_02_41,Impact absorbing synthetic play and sport paving systems
Ss_30_14_02_42,Impervious acrylic coated sports paving systems
Ss_30_14_02_70,Resin-bonded aggregate paving systems
Ss_30_14_02_71,Resin-bound aggregate light-duty paving systems
Ss_30_14_02_72,Resin-bound aggregate heavy-duty paving systems
Ss_30_14_02_73,Resin-bound aggregate overlay systems
Ss_30_14_02_74,Resin-bound stone aggregate sports paving systems
Ss_30_14_02_85,Synthetic play surfacing systems
Ss_30_14_05,Asphalt road and paving systems
Ss_30_14_05_05,Asphalt concrete light-duty paving systems
Ss_30_14_05_06,Asphalt concrete paving systems
Ss_30_14_05_07,Asphalt concrete runway paving systems
Ss_30_14_05_08,Asphalt concrete surface overlay systems
Ss_30_14_05_35,Hot rolled asphalt paving systems
Ss_30_14_05_36,Hot rolled asphalt runway paving systems
Ss_30_14_05_40,Hot rolled asphalt sports paving systems
Ss_30_14_05_50,Mastic asphalt pedestrian paving systems
Ss_30_14_05_65,Porous asphalt concrete paving systems
Ss_30_14_05_70,Porous asphalt concrete sports paving systems
Ss_30_14_05_75,Stone mastic asphalt paving systems
Ss_30_14_05_80,Slurry surfacing overlay systems
Ss_30_14_15,Concrete road and paving systems
Ss_30_14_15_14,Concrete grass-filled paving systems
Ss_30_14_15_16,Concrete paving systems
Ss_30_14_15_17,Concrete porous paving systems
Ss_30_14_15_18,Concrete runway paving systems
Ss_30_14_50,Mat and sheet paving systems
Ss_30_14_50_25,Dry ski slope synthetic matting systems
Ss_30_14_50_65,Polymeric sports paving systems
Ss_30_14_50_80,Synthetic grass surfacing systems
Ss_30_14_80,Unbound aggregate paving systems
Ss_30_14_80_30,Fast dry clay sports paving systems
Ss_30_14_80_37,Hoggin paving systems
Ss_30_14_80_40,Hard binding gravel paving systems
Ss_30_14_80_45,Loose laid aggregate paving systems
Ss_30_14_80_47,Loose aggregate overlay systems
Ss_30_14_80_48,Loose gravel paving systems
Ss_30_14_80_75,Sand play surfacing systems
Ss_30_14_80_90,Unbound aggregate cycle paving systems
Ss_30_14_80_95,Woodchip and stone trim trail paving systems
Ss_30_14_80_98,Woodchip and woodfibre surface paving systems
Ss_30_14_90,Unit paving systems
Ss_30_14_90_11,Cellular plastics grass-filled paving systems
Ss_30_14_90_12,Cellular plastics gravel-filled paving systems
Ss_30_14_90_30,Flag and slab bound paving systems
Ss_30_14_90_32,Flag and slab paving overlay systems
Ss_30_14_90_34,Flag and slab pedestal-supported paving systems
Ss_30_14_90_36,Flag and slab unbound paving systems
Ss_30_14_90_50,Mosaic paving systems
Ss_30_14_90_60,Permeable flag and slab paving systems
Ss_30_14_90_62,Permeable small unit paving systems
Ss_30_14_90_70,Rail track paving systems
Ss_30_14_90_75,Small unit bound paving systems
Ss_30_14_90_80,Small unit paving overlay systems
Ss_30_14_90_85,Small unit unbound paving systems
Ss_30_20,Flooring and decking systems
Ss_30_20_10,Board and rigid sheet floor systems
Ss_30_20_10_10,Battened timber board floating floor systems
Ss_30_20_10_15,Battened wood-based rigid sheet floating floor systems
Ss_30_20_10_43,Joist-supported mineral-based sheet and board floor systems
Ss_30_20_10_45,Joist-supported timber board floor systems
Ss_30_20_10_50,Joist-supported wood-based rigid sheet floor systems
Ss_30_20_10_95,Wood-based rigid sheet floating floor systems
Ss_30_20_22,Demountable athletics floor systems
Ss_30_20_30,External deck and boardwalk systems
Ss_30_20_30_10,Boardwalk systems
Ss_30_20_30_25,Decking systems
Ss_30_20_70,Raised floor systems
Ss_30_20_70_70,Raised access floor systems
Ss_30_20_90,Wood and composite unit flooring systems
Ss_30_20_90_15,Composition block flooring systems
Ss_30_20_90_50,Mosaic parquet panel flooring systems
Ss_30_20_90_95,Wood block flooring systems
Ss_30_20_95,Wood strip and board fine flooring systems
Ss_30_20_95_10,Battened wood floating floor systems
Ss_30_20_95_15,Composite laminate floating floor systems
Ss_30_20_95_20,Direct-fixed wood floor systems
Ss_30_20_95_25,Direct-glued wood floor systems
Ss_30_20_95_95,Wood floating floor systems
Ss_30_25,Ceiling and soffit systems
Ss_30_25_10,Board and sheet ceiling systems
Ss_30_25_10_10,Board suspended ceiling systems
Ss_30_25_10_26,External ceiling systems
Ss_30_25_10_28,External soffit systems
Ss_30_25_10_35,Gypsum board suspended ceiling systems
Ss_30_25_10_52,Monolithic suspended ceiling systems
Ss_30_25_10_80,Soffit lining and beam casing systems
Ss_30_25_22,Demountable suspended ceiling systems
Ss_30_25_22_01,Acoustic baffle suspended ceiling systems
Ss_30_25_22_30,Fabric membrane ceiling systems
Ss_30_25_22_47,Linear ceiling lining systems
Ss_30_25_22_51,Modular suspended ceiling systems
Ss_30_25_22_70,Raft or island suspended ceiling systems
Ss_30_30,Roof and floor opening systems
Ss_30_30_15,Concrete roof and floor glazing systems
Ss_30_30_15_42,In situ concrete roof and floor glazing systems
Ss_30_30_15_64,Precast concrete lift-out access roof and floor glazing systems
Ss_30_30_15_65,Precast concrete roof and floor glazing systems
Ss_30_30_30,Floor hatch systems
Ss_30_30_34,Glass unit masonry roof light systems
Ss_30_30_71,Roof hatch systems
Ss_30_30_72,Rooflight and roof window systems
Ss_30_30_72_21,Daylight pipe systems
Ss_30_30_72_72,Rooflight systems
Ss_30_30_72_73,Roof window systems
Ss_30_30_73,Roof ventilator systems
Ss_30_30_73_60,Passive roof natural ventilator systems
Ss_30_30_73_72,Roof smoke ventilator systems
Ss_30_34,Pavement opening systems
Ss_30_34_03,Animal grid systems
Ss_30_34_03_11,Cattle grid systems
Ss_30_34_15,Pavement glazing systems
Ss_30_34_15_15,Concrete pavement glazing systems
Ss_30_34_15_64,Precast concrete lift-out access pavement glazing systems
Ss_30_34_15_65,Precast concrete pavement glazing systems
Ss_30_34_16,Pavement smoke venting systems
Ss_30_34_16_15,Concrete pavement glazing smoke venting systems
Ss_30_34_16_16,Concrete pavement non-glazed smoke venting systems
Ss_30_34_16_64,Precast concrete pavement glazing smoke venting systems
Ss_30_34_16_65,Precast concrete pavement non-glazed smoke venting systems
Ss_30_36,Ceiling and soffit opening systems
Ss_30_36_10,Ceiling hatch systems
Ss_30_36_75,Soffit vent systems
Ss_30_40,Roof and balcony covering and finish systems
Ss_30_40_10,Board roof covering systems
Ss_30_40_10_30,Flat board roof deck systems
Ss_30_40_10_60,Pitched board roof sarking systems
Ss_30_40_30,Flat roof covering systems
Ss_30_40_30_07,Blue roof systems
Ss_30_40_30_40,Liquid-applied cold roof covering systems
Ss_30_40_30_42,Liquid-applied inverted roof covering systems
Ss_30_40_30_43,Liquid-applied warm roof covering systems
Ss_30_40_30_50,Mastic asphalt cold roof covering systems
Ss_30_40_30_52,Mastic asphalt inverted roof covering systems
Ss_30_40_30_55,Mastic asphalt warm roof covering systems
Ss_30_40_30_70,Reinforced bitumen membrane cold roof covering systems
Ss_30_40_30_71,Reinforced bitumen membrane inverted roof covering systems
Ss_30_40_30_72,Reinforced bitumen membrane warm roof covering systems
Ss_30_40_30_78,Single layer sheet cold roof covering systems
Ss_30_40_30_79,Single layer sheet inverted roof covering systems
Ss_30_40_30_80,Single layer sheet warm roof covering systems
Ss_30_40_32,Framed glazed roof systems
Ss_30_40_32_75,Sloping patent glazing systems
Ss_30_40_34,Glass roofing systems
Ss_30_40_34_15,Cantilevered structural glass beam canopy systems
Ss_30_40_34_60,Point-fixed structural glass canopy systems
Ss_30_40_34_65,Point-fixed structural glass roof systems
Ss_30_40_34_70,Point-fixed structural glass soffit systems
Ss_30_40_50,"Metal sheet, fully supported roof and dormer covering systems"
Ss_30_40_50_05,Aluminium sheet dormer covering systems
Ss_30_40_50_10,Aluminium sheet fully supported roof covering systems
Ss_30_40_50_12,Carbon steel sheet dormer covering systems
Ss_30_40_50_13,Carbon steel sheet fully supported roof covering systems
Ss_30_40_50_15,Copper sheet dormer covering systems
Ss_30_40_50_20,Copper sheet fully supported roof covering systems
Ss_30_40_50_40,Lead sheet dormer covering systems
Ss_30_40_50_45,Lead sheet fully supported roof covering systems
Ss_30_40_50_50,Lead-wrapped panel systems
Ss_30_40_50_75,Stainless steel sheet dormer covering systems
Ss_30_40_50_80,Stainless steel sheet fully supported roof covering systems
Ss_30_40_50_90,Zinc sheet dormer covering systems
Ss_30_40_50_95,Zinc sheet fully supported roof covering systems
Ss_30_40_55,Metal composite panel roof covering systems
Ss_30_40_55_10,Built up metal insulating sandwich panel roof systems
Ss_30_40_55_50,Metal composite panel roofing systems
Ss_30_40_55_54,Metal insulating sandwich panel roof systems
Ss_30_40_55_55,Metal semi-composite panel roofing systems
Ss_30_40_65,Profiled sheet self-supporting roof covering systems
Ss_30_40_65_30,Fibre cement profiled self-supporting sheet roof covering systems
Ss_30_40_65_50,Metal profiled sheet self-supporting roof covering systems
Ss_30_40_65_60,Plastics profiled sheet self-supporting roof covering systems
Ss_30_40_90,Tensile fabric roofing systems
Ss_30_40_90_40,Internal single layer tensile fabric roofing systems
Ss_30_40_90_50,Multilayer tensile fabric roofing systems
Ss_30_40_90_75,Single layer tensile fabric roofing systems
Ss_30_40_92,Thatch roof covering systems
Ss_30_40_92_85,Thatch roofing systems
Ss_30_40_95,Unit roofing systems
Ss_30_40_95_10,Bitumen membrane shingle roofing systems
Ss_30_40_95_15,Ceramic slate roofing systems
Ss_30_40_95_30,Fibre cement slate roofing systems
Ss_30_40_95_40,Interlocking tile roofing systems
Ss_30_40_95_50,Metal tile roofing systems
Ss_30_40_95_55,Natural slate roofing systems
Ss_30_40_95_60,Natural stone slate roofing systems
Ss_30_40_95_65,Plain tile roofing systems
Ss_30_40_95_70,Reconstituted slate roofing systems
Ss_30_40_95_74,Roofing edges and junction systems
Ss_30_40_95_95,Wood shake or shingle roofing systems
Ss_30_42,Floor covering and finishing systems
Ss_30_42_10,Calcium sulfate-based screed systems
Ss_30_42_10_10,Bonded calcium sulfate-based screed systems
Ss_30_42_10_30,Floating calcium sulfate-based screed systems
Ss_30_42_10_90,Unbonded calcium sulfate-based screed systems
Ss_30_42_15,Cementitious screed systems
Ss_30_42_15_10,Bonded or partially bonded cementitious levelling screed systems
Ss_30_42_15_15,Cementitious wearing screed systems
Ss_30_42_15_30,Floating cementitious levelling screed systems
Ss_30_42_15_90,Unbonded cementitious levelling screed systems
Ss_30_42_20,Deck covering systems
Ss_30_42_30,Floor paint systems
Ss_30_42_30_30,Floor coating systems
Ss_30_42_32,Floor tiling systems
Ss_30_42_32_30,External floor tiling systems
Ss_30_42_32_40,Internal floor tiling systems
Ss_30_42_40,Ice rink floor systems
Ss_30_42_52,Mastic asphalt flooring and floor underlay systems
Ss_30_42_52_50,Mastic asphalt flooring systems
Ss_30_42_52_52,Mastic asphalt floor underlay systems
Ss_30_42_54,Monolithic flooring systems
Ss_30_42_54_75,Resin flooring systems
Ss_30_42_56,Natural stone flooring systems
Ss_30_42_56_56,Natural stone slab flooring systems
Ss_30_42_56_57,Natural stone tile flooring systems
Ss_30_42_72,Resilient and textile floor covering systems
Ss_30_42_72_05,Adhesive-fixed rolled carpet systems
Ss_30_42_72_10,Carpet tile systems
Ss_30_42_72_25,Edge-fixed carpet systems
Ss_30_42_72_72,Resilient sheet floor covering systems
Ss_30_42_72_75,Resilient tile floor covering systems
Ss_30_42_90,Terrazzo floor tiling and screed systems
Ss_30_42_90_90,Terrazzo floor covering systems
Ss_30_45,Pavement covering and finishing systems
Ss_30_47,Ceiling and soffit covering and finishing systems
Ss_30_60,"Roof, floor and paving accessory systems"
Ss_30_60_30,Floor feature systems
Ss_30_60_30_26,Entrance matting systems
Ss_30_60_45,Kerb and traffic separation systems
Ss_30_60_45_03,Asphalt kerb systems
Ss_30_60_45_15,Concrete kerb systems
Ss_30_60_45_20,Demarcation paving systems
Ss_30_60_45_45,Light-duty kerb systems
Ss_30_60_45_55,Multi unit traffic calming systems
Ss_30_60_45_65,Precast kerb systems
Ss_30_60_45_80,Single unit traffic calming systems
Ss_30_60_45_85,Traffic kerb systems
Ss_30_60_45_86,Traffic separation systems
Ss_30_60_70,Roof feature systems
Ss_30_75,"Roof, floor and paving drainage systems"
Ss_30_75_40,Surface drainage channel systems
Ss_30_75_40_30,Footway grating systems
Ss_30_75_40_50,Multi unit surface drainage channel systems
Ss_30_75_40_75,Single unit surface drainage channel systems
Ss_30_75_50,Metal sheet gutter lining systems
Ss_30_75_50_05,Aluminium sheet gutter lining systems
Ss_30_75_50_11,Carbon steel sheet gutter lining systems
Ss_30_75_50_15,Copper sheet gutter lining systems
Ss_30_75_50_45,Lead sheet gutter lining systems
Ss_30_75_50_75,Stainless steel sheet gutter lining systems
Ss_30_75_50_95,Zinc sheet gutter lining systems
Ss_30_95,"Temporary roof, floor and paving systems"
Ss_32,"Damp-proofing, waterproofing and plaster-finishing systems"
Ss_32_20,Damp-proofing systems
Ss_32_20_20,Damp-proof course renewal and insertion systems
Ss_32_20_20_15,Chemical injection damp-proof course systems
Ss_32_20_20_47,Lead damp-proof course systems
Ss_32_20_20_62,Physical insertion horizontal damp-proof course systems
Ss_32_20_20_63,Physical insertion horizontal or stepped cavity tray systems
Ss_32_20_20_64,Physical insertion proprietary rising damp remedial systems
Ss_32_20_20_65,Physical insertion vertical damp-proof course systems
Ss_32_20_30,Floor damp-proofing systems
Ss_32_20_30_10,Cementitious mortar slurry floor damp-proofing systems
Ss_32_20_30_15,Cold-applied liquid floor damp-proofing systems
Ss_32_20_30_30,Fully bonded bitumen membrane overslab damp-proofing systems
Ss_32_20_30_35,Fully bonded bitumen membrane underslab damp-proofing systems
Ss_32_20_30_40,Hot-applied liquid floor damp-proofing systems
Ss_32_20_30_45,Loose-laid bitumen membrane overslab damp-proofing systems
Ss_32_20_30_46,Loose-laid bitumen membrane underslab damp-proofing systems
Ss_32_20_30_48,Loose-laid polyethylene membrane oversite damp-proofing systems
Ss_32_20_30_50,Loose-laid polyethylene membrane overslab damp-proofing systems
Ss_32_20_30_51,Loose-laid polyethylene membrane underslab damp-proofing systems
Ss_32_20_30_55,Mastic asphalt floor damp-proofing systems
Ss_32_20_30_60,Plastics studded membrane floor damp-proofing systems
Ss_32_20_30_65,Pre-applied anchored membrane underslab damp-proofing systems
Ss_32_20_30_75,Self-adhesive bitumen membrane floor damp-proofing systems
Ss_32_20_95,Wall damp-proofing systems
Ss_32_20_95_10,Cementitious mortar slurry internal wall damp-proofing systems
Ss_32_20_95_15,Cold-applied liquid internal wall damp-proofing systems
Ss_32_20_95_65,Plastics studded membrane internal wall damp-proofing systems
Ss_32_30,Flashing and weathering systems
Ss_32_30_30,Flashing systems
Ss_32_30_30_03,Aluminium flashing systems
Ss_32_30_30_11,Carbon steel flashing systems
Ss_32_30_30_14,Copper flashing systems
Ss_32_30_30_47,Lead flashing systems
Ss_32_30_30_84,Stainless steel flashing systems
Ss_32_30_30_98,Zinc flashing systems
Ss_32_30_90,Weathering  systems
Ss_32_30_90_04,Aluminium weathering systems
Ss_32_30_90_12,Carbon steel weathering systems
Ss_32_30_90_15,Copper weathering systems
Ss_32_30_90_48,Lead weathering systems
Ss_32_30_90_85,Stainless steel weathering systems
Ss_32_30_90_99,Zinc weathering systems
Ss_32_46,Lath and plaster systems
Ss_32_46_50,Metal lathing and anchored mesh reinforcement systems
Ss_32_46_50_05,Anchored mesh reinforcement systems
Ss_32_46_50_50,Metal lathing casing systems
Ss_32_46_50_51,Metal lathing on framing systems
Ss_32_46_50_52,"Metal lathing on hangers, bearers and runners systems"
Ss_32_46_50_53,Metal lathing on solid substrate systems
Ss_32_46_65,Plaster-coating systems
Ss_32_46_65_15,Clay plaster systems
Ss_32_46_65_55,Multicoat plaster systems
Ss_32_46_65_58,One-coat plaster systems
Ss_32_46_65_90,Tiling and mosaic plaster substrate systems
Ss_32_80,Waterproofing and tanking systems
Ss_32_80_03,Applied waterproofing and tanking systems
Ss_32_80_03_08,Bridge deck liquid sprayed systems
Ss_32_80_03_10,Cementitious proprietary mortar slurry tanking systems
Ss_32_80_03_12,Cementitious site-batched-and-mixed mortar tanking systems
Ss_32_80_03_14,Cold-applied liquid waterproofing systems
Ss_32_80_03_16,Cold-applied liquid sandwiched tanking systems
Ss_32_80_03_18,Crystallization-active cementitious mortar dry shake tanking systems
Ss_32_80_03_20,Crystallization-active cementitious mortar slurry tanking systems
Ss_32_80_03_50,Mastic asphalt external tanking systems
Ss_32_80_03_52,Mastic asphalt sandwiched tanking systems
Ss_32_80_03_54,Mastic asphalt tank lining systems
Ss_32_80_03_90,Tunnel spray-applied membrane systems
Ss_32_80_79,Sheeted waterproofing and tanking systems
Ss_32_80_79_08,Bridge deck sheet systems
Ss_32_80_79_30,Fully bonded bitumen membrane external tanking systems
Ss_32_80_79_32,Fully bonded bitumen membrane sandwiched tanking systems
Ss_32_80_79_33,Fully bonded flexible sheet membrane waterproofing systems
Ss_32_80_79_36,Hard rigid plastics sheet membrane waterproofing systems
Ss_32_80_79_40,High-density plastics studded membrane cavity drain waterproofing systems
Ss_32_80_79_45,Loose-laid bentonite membrane external or sandwiched tanking systems
Ss_32_80_79_75,Self-adhesive bitumen membrane external tanking systems
Ss_32_80_79_77,Self-adhesive bitumen membrane sandwiched tanking systems
Ss_32_80_79_84,Steel membrane waterproofing systems
Ss_32_80_79_86,Structure-supported sheet membrane waterproofing systems
Ss_32_80_79_90,Tunnel sheet membrane systems
Ss_32_80_79_92,Unbonded flexible sheet membrane waterproofing systems
Ss_32_80_90,Water feature and pond sheet lining systems
Ss_32_80_90_35,Ground-supported water retention sheet lining systems
Ss_32_80_90_85,Structure-supported water retention sheet lining systems
Ss_35,Stair and ramp systems
Ss_35_10,Stair and ramp structure systems
Ss_35_10_25,External stair and ramp systems
Ss_35_10_25_34,Ground bearing external ramp systems
Ss_35_10_25_35,Ground bearing external stair systems
Ss_35_10_25_83,Suspended external ramp systems
Ss_35_10_25_85,Suspended external stair systems
Ss_35_10_30,Fixed utilitarian access systems
Ss_35_10_30_15,Companionway ladder systems
Ss_35_10_30_40,Industrial stair systems
Ss_35_10_30_60,Permanently-fixed roof ladder systems
Ss_35_10_30_62,Permanently-fixed vertical ladder systems
Ss_35_10_30_95,Working platform and walkway systems
Ss_35_10_40,Internal stair and ramp systems
Ss_35_10_40_20,Curved internal stair systems
Ss_35_10_40_40,Internal ramp systems
Ss_35_10_40_42,Internal stair systems
Ss_35_10_40_84,Straight internal stair systems
Ss_35_10_50,Marine and waterside ramp systems
Ss_35_10_50_29,Fixed ramp systems
Ss_35_10_50_31,Floating pontoon ramp systems
Ss_35_10_50_42,Integral pontoon ramp systems
Ss_35_10_85,Structural stair and ramp systems
Ss_35_10_85_15,Concrete stair or ramp systems
Ss_35_10_85_35,Heavy steel stair or ramp systems
Ss_35_10_85_65,Precast concrete stair or ramp systems
Ss_35_10_85_90,Timber stair or ramp systems
Ss_35_30,Stair and ramp opening systems
Ss_35_30_15,Concrete stair and ramp glazing systems
Ss_35_30_15_15,Concrete stair tread glazing systems
Ss_35_40,Stair and ramp covering and finishing systems
Ss_35_40_82,Stair carpeting systems
Ss_35_40_82_05,Adhesive-fixed stair carpeting systems
Ss_35_95,Temporary stair and ramp systems
Ss_37,"Tunnel, shaft, vessel and tower systems"
Ss_37_14,Chute systems
Ss_37_14_10,Bulk material chute systems
Ss_37_14_25,Escape chute systems
Ss_37_14_70,Refuse and linen chute systems
Ss_37_14_70_08,Built-in linen chute systems
Ss_37_14_70_10,Built-in refuse chute systems
Ss_37_14_70_63,Post-fixed linen chute systems
Ss_37_14_70_65,Post-fixed refuse chute systems
Ss_37_16,Vessel and trench systems
Ss_37_16_02,Above-ground pool systems
Ss_37_16_05,Basement water-retaining systems
Ss_37_16_10,Bund systems
Ss_37_16_10_32,Fuel tank bund systems
Ss_37_16_10_90,Transformer bund systems
Ss_37_16_50,Metal and plastics water-retaining systems
Ss_37_16_65,Pond and wetland systems
Ss_37_16_65_40,Informal pond systems
Ss_37_16_65_70,Raised formal pond systems
Ss_37_16_65_85,Submerged formal pond systems
Ss_37_16_65_95,Wetland systems
Ss_37_16_75,Silo systems
Ss_37_16_90,"Trench, pipeway and pit systems"
Ss_37_16_90_11,Cable protection systems
Ss_37_16_90_28,External underground service duct systems
Ss_37_16_90_63,Pit systems
Ss_37_16_95,Watertight structural systems
Ss_37_16_95_78,Sewage treatment vessel systems
Ss_37_17,"Tower, chimney and mast systems"
Ss_37_17_13,Chimney systems
Ss_37_17_13_50,Masonry chimney stack systems
Ss_37_17_13_65,Pollution control systems
Ss_37_17_35,Gantry systems
Ss_37_17_35_11,Cantilever gantry systems
Ss_37_17_35_32,Full span gantry systems
Ss_37_17_35_50,Mast arm sign gantry systems
Ss_37_17_35_60,Portal sign gantry systems
Ss_37_17_35_70,Reefer gantry systems
Ss_37_17_45,Lattice tower and pylon systems
Ss_37_17_50,Mast and pole systems
Ss_37_17_50_54,Multi-function pole systems
Ss_37_17_50_72,Road mast systems
Ss_37_17_90,Tower systems
Ss_37_40,"Tunnel, shaft, vessel and tower covering and finishing systems"
Ss_37_40_85,Swimming pool tiling systems
Ss_37_40_85_83,Swimming pool floor tiling systems
Ss_37_40_85_85,Swimming pool wall tiling systems
Ss_37_50,Shaft and tunnel structural systems
Ss_37_50_80,Shaft structure systems
Ss_37_50_80_50,Masonry lined shaft systems
Ss_37_50_80_71,Reinforced concrete shaft structure systems
Ss_37_50_80_77,Segmental shaft structure systems
Ss_37_50_80_83,Sprayed concrete shaft lining systems
Ss_37_50_80_90,Unit lined shaft systems
Ss_37_50_92,Tunnel structure systems
Ss_37_50_92_11,Cast concrete tunnel invert systems
Ss_37_50_92_15,Colliery arch tunnel or adit systems
Ss_37_50_92_50,Masonry tunnel structure systems
Ss_37_50_92_64,Primary regulating layer sprayed concrete lining systems
Ss_37_50_92_66,Primary sprayed concrete lining systems
Ss_37_50_92_71,Reinforced concrete tunnel structure systems
Ss_37_50_92_75,Secondary cast concrete lining systems
Ss_37_50_92_76,Secondary regulating layer sprayed concrete lining systems
Ss_37_50_92_77,Secondary sprayed concrete lining systems
Ss_37_50_92_79,Sectional tunnel structure systems
Ss_37_50_92_83,Sprayed concrete tunnel lining systems
Ss_37_50_92_90,Unit lined tunnel systems
Ss_37_55,Tunnel and shaft opening systems
Ss_37_55_60,Opening frame systems
Ss_37_55_60_90,Tunnel opening frame systems
Ss_37_60,"Tunnel, shaft, vessel and tower accessory systems"
Ss_37_95,"Temporary tunnel, shaft, vessel and tower systems"
Ss_40,"Signage, fittings, furnishings and equipment (FF&E) and general finishing systems"
Ss_40_05,Modular systems
Ss_40_05_80,Sanitary modular systems
Ss_40_05_80_10,Bathroom pod systems
